DateTime,AddedIPs,RemovedIPs
1530709601,2,1
1530713204,2,4
1530716810,5,1
1530720399,2,0
1530724006,1,2
1530727600,0,1
1530731208,3,2
1530734818,1,3
1530738411,1,0
1530741985,1,1
1530745613,2,4
1530749201,5,0
1530752793,1,2
1530756407,2,5
1530760017,4,1
1530763614,2,2
1530767207,6,1
1530770809,1,3
1530774394,2,1
1530778024,2,1
1530781606,2,1
1530785213,0,2
1530788799,2,2
1530792405,1,6
1530795999,2,1
1530799595,0,2
1530803197,2,3
1530806785,2,3
1530810396,1,0
1530814037,3,0
1530817658,1,2
1530821249,2,1
1530824830,2,3
1530828455,3,2
1530832035,0,1
1530835639,1,0
1530839244,1,0
1530842847,3,2
1530846450,3,3
1530850037,2,2
1530853643,2,2
1530857253,2,2
1530860829,1,4
1530864437,1,1
1530868033,1,3
1530871646,3,2
1530875252,2,2
1530878841,4,2
1530882446,3,1
1530886042,0,1
1530889643,2,4
1530893245,0,1
1530896835,1,1
1530900450,2,0
1530907821,1,0
1530911439,1,1
1530915060,0,1
1530918641,1,4
1530922326,3,7
1530925851,4,1
1530929443,4,3
1530933079,0,6
1530936642,5,5
1530940254,7,5
1530943852,3,4
1530947444,7,4
1530951060,2,4
1530954662,2,4
1530958232,4,2
1530961839,3,1
1530965449,1,2
1530969046,4,2
1530972634,5,4
1530976248,4,3
1530979847,4,4
1530983447,4,0
1530987043,2,6
1530990639,4,5
1530994245,3,3
1530997837,3,2
1531001446,1,2
1531005036,1,5
1531008716,3,2
1531012277,6,3
1531015885,2,5
1531019443,1,3
1531023075,2,2
1531026669,3,3
1531030270,4,1
1531033855,5,2
1531037469,1,3
1531041090,1,3
1531044667,2,3
1531048285,3,4
1531051880,4,5
1531055499,1,0
1531059093,1,1
1531062673,1,6
1531066289,3,1
1531069891,2,5
1531073470,6,3
1531077092,2,5
1531080683,1,3
1531084271,7,3
1531087873,4,3
1531091481,8,3
1531095239,2,4
1531098677,2,6
1531102248,5,1
1531105866,4,4
1531109474,3,8
1531113061,9,1
1531116670,1,2
1531120247,2,2
1531123878,2,4
1531127450,4,6
1531131063,5,2
1531134652,2,4
1531138277,6,6
1531141874,1,3
1531145481,5,6
1531149058,2,3
1531152671,5,1
1531156250,6,4
1531159876,5,2
1531163448,4,2
1531167056,2,6
1531170674,4,3
1531174255,3,4
1531177887,2,3
1531181658,1,4
1531185077,4,3
1531188670,2,5
1531192265,6,0
1531195871,2,5
1531199466,1,5
1531203077,4,3
1531206683,6,1
1531210251,2,4
1531213871,3,5
1531217446,5,2
1531221082,4,3
1531224687,5,3
1531228279,3,4
1531231870,3,4
1531235466,5,9
1531239074,4,3
1531242675,6,5
1531246021,7,0
1531249613,2,0
1531253222,0,3
1531256822,2,0
1531260404,1,2
1531263999,2,1
1531267619,1,1
1531271220,0,1
1531274799,2,0
1531278420,1,4
1531282012,2,3
1531285612,2,1
1531289200,0,1
1531292824,2,1
1531300010,1,2
1531303605,3,0
1531307212,2,1
1531310813,1,1
1531314408,3,2
1531318013,1,4
1531321634,4,1
1531325215,2,2
1531328808,2,2
1531332405,0,2
1531336029,0,2
1531339621,1,2
1531343220,3,1
1531346797,2,0
1531350424,0,1
1531354023,3,0
1531357612,1,2
1531361211,0,4
1531364829,3,0
1531368388,2,0
1531372009,1,2
1531375609,1,1
1531379218,0,2
1531382821,3,3
1531386413,2,3
1531390019,1,0
1531393605,1,2
1531397214,1,1
1531400798,1,1
1531404409,1,1
1531408002,1,1
1531411628,0,1
1531415216,2,2
1531418820,0,1
1531422401,2,1
1531426014,3,1
1531429612,2,1
1531433210,1,2
1531436807,1,3
1531440425,2,1
1531443983,1,2
1531447586,0,5
1531451198,4,0
1531454791,3,1
1531458395,3,1
1531465601,2,1
1531469194,1,0
1531472786,1,3
1531476387,1,1
1531480002,1,2
1531483590,3,3
1531487446,3,0
1531491045,1,2
1531494581,3,1
1531497998,0,2
1531501596,0,2
1531505180,2,1
1531508813,0,1
1531512395,2,0
1531516006,1,2
1531519598,3,2
1531523200,1,0
1531526780,2,2
1531530411,1,2
1531534007,1,3
1531537599,1,1
1531541181,1,1
1531544790,1,3
1531548406,3,3
1531551989,2,0
1531555588,1,2
1531559198,0,1
1531562803,1,0
1531566398,3,0
1531569986,0,3
1531573590,3,1
1531577211,1,2
1531580784,2,3
1531584386,2,1
1531588004,1,0
1531591582,3,1
1531595170,2,2
1531598778,1,2
1531602394,0,1
1531605981,2,1
1531609586,0,2
1531613179,2,1
1531620370,1,2
1531623983,1,1
1531627587,2,2
1531631191,4,3
1531634796,2,0
1531638385,2,0
1531641994,0,1
1531645588,1,5
1531649179,1,0
1531656389,1,1
1531659998,1,1
1531663562,1,1
1531667187,1,0
1531670793,3,4
1531674386,3,2
1531677990,1,1
1531681586,0,2
1531685190,2,1
1531688789,1,0
1531692393,0,1
1531695989,1,2
1531699623,2,1
1531703175,1,0
1531706772,1,5
1531710396,4,0
1531713975,1,1
1531717590,2,3
1531721182,1,2
1531724793,1,0
1531728373,2,1
1531731967,0,2
1531735584,1,1
